,Review,Client ID,Worker ID,Org,Job Num,Pay Component,Rate,Hours,Units,Line Date,Amount,Check,Override State,Override Local,Labor Override
0,✅ Validated,16068715,2,,,Hourly,19.28,2.0,,,,,,,2
1,✅ Validated,16068715,2,,,Hourly,19.29,17.85,,,,,,,2
2,✅ Validated,16068715,18,,,Hourly,19.28,31.0,,,,,,,18
3,✅ Validated,16068715,18,,,Hourly,19.29,12.75,,,,,,,18
4,✅ Validated,16068715,19,,,Hourly,17,51.25,,,,,,,19
5,✅ Validated,16068715,19,,,Hourly,18,28.75,,,,,,,19
6,✅ Validated,16068715,19,,,Overtime,18,13.25,,,,,,,19
7,✅ Validated,16068715,26,,,Hourly,19.29,26.25,,,,,,,26
8,✅ Validated,16068715,32,,,Hourly,22,24.75,,,,,,,32
9,✅ Validated,16068715,40,,,Hourly,17,42.75,,,,,,,40
10,✅ Validated,16068715,41,,,Hourly,19.28,60.0,,,,,,,41
11,✅ Validated,16068715,41,,,Hourly,19.29,20.0,,,,,,,41
12,✅ Validated,16068715,41,,,Overtime,19.29,10.0,,,,,,,41
13,✅ Validated,16068715,55,,,Hourly,22,5.75,,,,,,,55
14,✅ Validated,16068715,55,,,Hourly,24,23.5,,,,,,,55
15,✅ Validated,16068715,56,,,Hourly,24,2.0,,,,,,,56
16,✅ Validated,16068715,58,,,Hourly,22,80.0,,,,,,,58
17,✅ Validated,16068715,58,,,Overtime,22,8.25,,,,,,,58
18,✅ Validated,16068715,104,,,Hourly,19.29,75.0,,,,,,,104
19,✅ Validated,16068715,125,,,Hourly,17,80.0,,,,,,,125
20,✅ Validated,16068715,125,,,Overtime,17,10.0,,,,,,,125
21,✅ Validated,16068715,133,,,Hourly,19.28,30.0,,,,,,,133
22,✅ Validated,16068715,133,,,Hourly,19.29,50.0,,,,,,,133
23,✅ Validated,16068715,133,,,Overtime,19.29,6.75,,,,,,,133
24,✅ Validated,16068715,151,,,Hourly,17,27.75,,,,,,,151
25,✅ Validated,16068715,155,,,Hourly,17,2.0,,,,,,,155
26,✅ Validated,16068715,155,,,Hourly,22,3.0,,,,,,,155
27,✅ Validated,16068715,185,,,Hourly,22,43.75,,,,,,,185
28,✅ Validated,16068715,185,,,Hourly,25,12.0,,,,,,,185
29,✅ Validated,16068715,190,,,Hourly,17,80.0,,,,,,,190
30,✅ Validated,16068715,190,,,Overtime,17,14.5,,,,,,,190
31,✅ Validated,16068715,201,,,Hourly,19.29,80.0,,,,,,,201
32,✅ Validated,16068715,201,,,Overtime,19.29,10.0,,,,,,,201
33,✅ Validated,16068715,218,,,Hourly,19.29,66.0,,,,,,,218
34,✅ Validated,16068715,236,,,Hourly,17,50.0,,,,,,,236
35,✅ Validated,16068715,237,,,Hourly,17,77.75,,,,,,,237
36,✅ Validated,16068715,255,,,Hourly,17,60.75,,,,,,,255
37,✅ Validated,16068715,259,,,Hourly,17,8.0,,,,,,,259
38,✅ Validated,16068715,259,,,Hourly,18,72.0,,,,,,,259
39,✅ Validated,16068715,259,,,Overtime,18,16.0,,,,,,,259
40,✅ Validated,16068715,271,,,Hourly,22.5,36.0,,,,,,,271
41,✅ Validated,16068715,276,,,Hourly,17,8.75,,,,,,,276
42,✅ Validated,16068715,276,,,Hourly,22,5.0,,,,,,,276
43,✅ Validated,16068715,279,,,Hourly,22,24.0,,,,,,,279
44,✅ Validated,16068715,327,,,Hourly,22,4.0,,,,,,,327
45,✅ Validated,16068715,327,,,MILEAGE REIMB,0.73,,3.0,,,,,,327
46,✅ Validated,16068715,329,,,Hourly,19.28,3.0,,,,,,,329
47,✅ Validated,16068715,329,,,Hourly,19.29,5.5,,,,,,,329
48,✅ Validated,16068715,350,,,Hourly,17,70.25,,,,,,,350
49,✅ Validated,16068715,363,,,Hourly,22,8.25,,,,,,,363
50,✅ Validated,16068715,374,,,Hourly,19.29,6.0,,,,,,,374
51,✅ Validated,16068715,408,,,Hourly,20,47.5,,,,,,,408
52,✅ Validated,16068715,418,,,Hourly,17,12.0,,,,,,,418
53,✅ Validated,16068715,418,,,Hourly,18,19.25,,,,,,,418
54,✅ Validated,16068715,419,,,Hourly,19.29,70.07,,,,,,,419
55,✅ Validated,16068715,428,,,Overtime,17,3.75,,,,,,,428
56,✅ Validated,16068715,428,,,Hourly,17,80.0,,,,,,,428
57,✅ Validated,16068715,428,,,Overtime,17,14.75,,,,,,,428
58,✅ Validated,16068715,432,,,Hourly,25,56.42,,,,,,,432
59,✅ Validated,16068715,442,,,Hourly,22,63.0,,,,,,,442
60,✅ Validated,16068715,442,,,MILEAGE REIMB,0.73,,75.0,,,,,,442
61,✅ Validated,16068715,458,,,Overtime,17,45.25,,,,,,,458
62,✅ Validated,16068715,458,,,Hourly,17,80.0,,,,,,,458
63,✅ Validated,16068715,458,,,Overtime,17,7.0,,,,,,,458
64,✅ Validated,16068715,465,,,Hourly,19.28,2.0,,,,,,,465
65,✅ Validated,16068715,465,,,Hourly,19.29,1.5,,,,,,,465
66,✅ Validated,16068715,496,,,Hourly,22,4.0,,,,,,,496
67,✅ Validated,16068715,507,,,Hourly,19.29,32.25,,,,,,,507
68,✅ Validated,16068715,516,,,Hourly,17,8.0,,,,,,,516
69,✅ Validated,16068715,516,,,Hourly,19.28,32.0,,,,,,,516
70,✅ Validated,16068715,516,,,Hourly,19.29,40.0,,,,,,,516
71,✅ Validated,16068715,516,,,Overtime,19.29,16.0,,,,,,,516
72,✅ Validated,16068715,522,,,Hourly,17,15.25,,,,,,,522
73,✅ Validated,16068715,522,,,Hourly,18,17.0,,,,,,,522
74,✅ Validated,16068715,522,,,Hourly,19.28,12.5,,,,,,,522
75,✅ Validated,16068715,522,,,Hourly,19.29,6.5,,,,,,,522
76,✅ Validated,16068715,526,,,Hourly,22,2.0,,,,,,,526
77,✅ Validated,16068715,561,,,Hourly,17,28.0,,,,,,,561
78,✅ Validated,16068715,571,,,Hourly,17,5.0,,,,,,,571
79,✅ Validated,16068715,571,,,Hourly,22,9.0,,,,,,,571
80,✅ Validated,16068715,576,,,Hourly,19.29,17.0,,,,,,,576
81,✅ Validated,16068715,589,,,Hourly,19.28,20.07,,,,,,,589
82,✅ Validated,16068715,643,,,Hourly,17,9.75,,,,,,,643
83,✅ Validated,16068715,647,,,Hourly,17,72.75,,,,,,,647
84,✅ Validated,16068715,653,,,Hourly,17,14.9,,,,,,,653
85,✅ Validated,16068715,657,,,Hourly,18.5,28.0,,,,,,,657
86,✅ Validated,16068715,657,,,Hourly,22,14.0,,,,,,,657
87,✅ Validated,16068715,663,,,Overtime,21,42.0,,,,,,,663
88,✅ Validated,16068715,663,,,Overtime,22,4.0,,,,,,,663
89,✅ Validated,16068715,663,,,Hourly,21,80.0,,,,,,,663
90,✅ Validated,16068715,663,,,Overtime,21,7.0,,,,,,,663
91,✅ Validated,16068715,663,,,Overtime,22,6.0,,,,,,,663
92,✅ Validated,16068715,663,,,MILEAGE REIMB,0.73,,3.0,,,,,,663
93,✅ Validated,16068715,666,,,Hourly,17,46.0,,,,,,,666
94,✅ Validated,16068715,673,,,Hourly,19.29,51.0,,,,,,,673
95,✅ Validated,16068715,681,,,Hourly,25.5,56.5,,,,,,,681
96,✅ Validated,16068715,687,,,Hourly,22,7.5,,,,,,,687
97,✅ Validated,16068715,687,,,Hourly,25,8.5,,,,,,,687
98,✅ Validated,16068715,689,,,Hourly,22,58.5,,,,,,,689
99,✅ Validated,16068715,701,,,Hourly,22,7.75,,,,,,,701
100,✅ Validated,16068715,705,,,Hourly,17,48.08,,,,,,,705
101,✅ Validated,16068715,706,,,Hourly,19.29,22.5,,,,,,,706
102,✅ Validated,16068715,710,,,Hourly,22,8.0,,,,,,,710
103,✅ Validated,16068715,710,,,Hourly,22.5,40.0,,,,,,,710
104,✅ Validated,16068715,716,,,Hourly,17,67.0,,,,,,,716
105,✅ Validated,16068715,716,,,Hourly,22,13.0,,,,,,,716
106,✅ Validated,16068715,716,,,Overtime,22,3.0,,,,,,,716
107,✅ Validated,16068715,726,,,Hourly,17,42.0,,,,,,,726
108,✅ Validated,16068715,745,,,Hourly,18,35.0,,,,,,,745
109,✅ Validated,16068715,757,,,Hourly,17,12.25,,,,,,,757
110,✅ Validated,16068715,768,,,Hourly,17,9.25,,,,,,,768
111,✅ Validated,16068715,768,,,Hourly,19.29,42.0,,,,,,,768
112,✅ Validated,16068715,800,,,Hourly,22,3.0,,,,,,,800
113,✅ Validated,16068715,806,,,Hourly,17,47.75,,,,,,,806
114,✅ Validated,16068715,809,,,Overtime,22,26.25,,,,,,,809
115,✅ Validated,16068715,809,,,Hourly,22,80.0,,,,,,,809
116,✅ Validated,16068715,809,,,Overtime,22,0.75,,,,,,,809
117,✅ Validated,16068715,818,,,Hourly,19.29,64.5,,,,,,,818
118,✅ Validated,16068715,833,,,Hourly,19.29,72.45,,,,,,,833
119,✅ Validated,16068715,845,,,Hourly,22,43.5,,,,,,,845
120,✅ Validated,16068715,848,,,Hourly,17,35.25,,,,,,,848
121,✅ Validated,16068715,848,,,Hourly,18,44.75,,,,,,,848
122,✅ Validated,16068715,848,,,Overtime,18,5.0,,,,,,,848
123,✅ Validated,16068715,854,,,Hourly,17,80.0,,,,,,,854
124,✅ Validated,16068715,854,,,Overtime,17,7.019999999999996,,,,,,,854
125,✅ Validated,16068715,858,,,Hourly,17,70.25,,,,,,,858
126,✅ Validated,16068715,860,,,Overtime,17,3.48,,,,,,,860
127,✅ Validated,16068715,860,,,Hourly,17,69.75,,,,,,,860
128,✅ Validated,16068715,860,,,Hourly,18,10.0,,,,,,,860
129,✅ Validated,16068715,863,,,Hourly,19.28,31.5,,,,,,,863
