Client ID,Worker ID,Org,Job Number,Pay Component,Rate,Rate Number,Hours,Units,Line Date,Amount,Check Seq Number,Override State,Override Local,Override Local Jurisdiction,Labor Override
16068715,1349,,,PRN Points,,,,,,435,,,,,
16068715,1199,,,PRN Points,,,,,,2300,,,,,
16068715,1458,,,PRN Points,,,,,,1795,,,,,
16068715,1466,,,PRN Points,,,,,,505,,,,,
16068715,1388,,,PRN Points,,,,,,624,,,,,
16068715,1457,,,PRN Points,,,,,,460,,,,,
16068715,1159,,,PRN Points,,,,,,740,,,,,
16068715,1391,,,PRN Points,,,,,,3035,,,,,
16068715,877,,,PRN Points,,,,,,1692,,,,,
16068715,1242,,,PRN Points,,,,,,365,,,,,
16068715,1334,,,PRN Points,,,,,,600,,,,,
16068715,980,,,PRN Points,,,,,,406.25,,,,,
16068715,1318,,,PRN Points,,,,,,250,,,,,
16068715,1207,,,PRN Points,,,,,,840,,,,,
16068715,1184,,,PRN Points,,,,,,1025,,,,,
16068715,1428,,,PRN Points,,,,,,645,,,,,
16068715,1185,,,PRN Points,,,,,,455,,,,,
16068715,1276,,,PRN Points,,,,,,665,,,,,
16068715,1162,,,PRN Points,,,,,,120,,,,,
16068715,1330,,,PRN Points,,,,,,335,,,,,
16068715,1389,,,Hourly,40,,5.483333333,,,,,,,,
16068715,1349,,,MILEAGE REIMB,0.73,,,28.5,,,,,,,
16068715,1199,,,MILEAGE REIMB,0.73,,,57.5,,,,,,,
16068715,1458,,,MILEAGE REIMB,0.73,,,156,,,,,,,
16068715,1280,,,MILEAGE REIMB,0.73,,,274.6,,,,,,,
16068715,1457,,,MILEAGE REIMB,0.73,,,39.9,,,,,,,
16068715,1159,,,MILEAGE REIMB,0.73,,,56,,,,,,,
16068715,1391,,,MILEAGE REIMB,0.73,,,126.5,,,,,,,
16068715,1073,,,MILEAGE REIMB,0.73,,,435,,,,,,,
16068715,877,,,MILEAGE REIMB,0.73,,,27.9,,,,,,,
16068715,1334,,,MILEAGE REIMB,0.73,,,23,,,,,,,
16068715,980,,,MILEAGE REIMB,0.73,,,60,,,,,,,
16068715,1205,,,MILEAGE REIMB,0.73,,,299.6,,,,,,,
16068715,1207,,,MILEAGE REIMB,0.73,,,25,,,,,,,
16068715,1184,,,MILEAGE REIMB,0.73,,,52,,,,,,,
16068715,1333,,,MILEAGE REIMB,0.73,,,265.5,,,,,,,
16068715,1019,,,MILEAGE REIMB,0.73,,,446,,,,,,,
16068715,1185,,,MILEAGE REIMB,0.73,,,45,,,,,,,
16068715,928,,,MILEAGE REIMB,0.73,,,559,,,,,,,
16068715,1319,,,MILEAGE REIMB,0.73,,,427.8,,,,,,,
16068715,1276,,,MILEAGE REIMB,0.73,,,105,,,,,,,
16068715,1330,,,MILEAGE REIMB,0.73,,,11,,,,,,,
16068715,1389,,,MILEAGE REIMB,0.73,,,70,,,,,,,
16068715,1295,,,MILEAGE REIMB,0.73,,,481,,,,,,,
16068715,2,,,Hourly,19.28,,2,,,,,,,,
16068715,2,,,Hourly,19.29,,17.85,,,,,,,,
16068715,18,,,Hourly,19.28,,31,,,,,,,,
16068715,18,,,Hourly,19.29,,12.75,,,,,,,,
16068715,19,,,Hourly,17,,51.25,,,,,,,,
16068715,19,,,Hourly,18,,28.75,,,,,,,,
16068715,19,,,Overtime,18,,13.25,,,,,,,,
16068715,26,,,Hourly,19.29,,26.25,,,,,,,,
16068715,32,,,Hourly,22,,24.75,,,,,,,,
16068715,40,,,Hourly,17,,42.75,,,,,,,,
16068715,41,,,Hourly,19.28,,60,,,,,,,,
16068715,41,,,Hourly,19.29,,20,,,,,,,,
16068715,41,,,Overtime,19.29,,10,,,,,,,,
16068715,55,,,Hourly,22,,5.75,,,,,,,,
16068715,55,,,Hourly,24,,23.5,,,,,,,,
16068715,56,,,Hourly,24,,2,,,,,,,,
16068715,58,,,Hourly,22,,80,,,,,,,,
16068715,58,,,Overtime,22,,8.25,,,,,,,,
16068715,104,,,Hourly,19.29,,75,,,,,,,,
16068715,125,,,Hourly,17,,80,,,,,,,,
16068715,125,,,Overtime,17,,10,,,,,,,,
16068715,133,,,Hourly,19.28,,30,,,,,,,,
16068715,133,,,Hourly,19.29,,50,,,,,,,,
16068715,133,,,Overtime,19.29,,6.75,,,,,,,,
16068715,151,,,Hourly,17,,27.75,,,,,,,,
16068715,155,,,Hourly,17,,2,,,,,,,,
16068715,155,,,Hourly,22,,3,,,,,,,,
16068715,185,,,Hourly,22,,43.75,,,,,,,,
16068715,185,,,Hourly,25,,12,,,,,,,,
16068715,190,,,Hourly,17,,80,,,,,,,,
16068715,190,,,Overtime,17,,14.5,,,,,,,,
16068715,201,,,Hourly,19.29,,80,,,,,,,,
16068715,201,,,Overtime,19.29,,10,,,,,,,,
16068715,218,,,Hourly,19.29,,66,,,,,,,,
16068715,236,,,Hourly,17,,50,,,,,,,,
16068715,237,,,Hourly,17,,77.75,,,,,,,,
16068715,255,,,Hourly,17,,60.75,,,,,,,,
16068715,259,,,Hourly,17,,8,,,,,,,,
16068715,259,,,Hourly,18,,72,,,,,,,,
16068715,259,,,Overtime,18,,16,,,,,,,,
16068715,271,,,Hourly,22.5,,36,,,,,,,,
16068715,276,,,Hourly,17,,8.75,,,,,,,,
16068715,276,,,Hourly,22,,5,,,,,,,,
16068715,279,,,Hourly,22,,24,,,,,,,,
16068715,327,,,Hourly,22,,4,,,,,,,,
16068715,327,,,MILEAGE REIMB,0.73,,,,,,,,,,
16068715,329,,,Hourly,19.28,,3,,,,,,,,
16068715,329,,,Hourly,19.29,,5.5,,,,,,,,
16068715,350,,,Hourly,17,,70.25,,,,,,,,
16068715,363,,,Hourly,22,,8.25,,,,,,,,
16068715,374,,,Hourly,19.29,,6,,,,,,,,
16068715,408,,,Hourly,20,,47.5,,,,,,,,
16068715,418,,,Hourly,17,,12,,,,,,,,
16068715,418,,,Hourly,18,,19.25,,,,,,,,
16068715,419,,,Hourly,19.29,,70.07,,,,,,,,
16068715,428,,,Overtime,17,,3.75,,,,,,,,
16068715,428,,,Hourly,17,,80,,,,,,,,
16068715,428,,,Overtime,17,,14.75,,,,,,,,
16068715,432,,,Hourly,25,,56.42,,,,,,,,
16068715,442,,,Hourly,25,,63,,,,,,,,
16068715,442,,,MILEAGE REIMB,0.73,,,75,,,,,,,
16068715,458,,,Overtime,17,,45.25,,,,,,,,
16068715,458,,,Hourly,17,,80,,,,,,,,
16068715,458,,,Overtime,17,,7,,,,,,,,
16068715,465,,,Hourly,19.28,,2,,,,,,,,
16068715,465,,,Hourly,19.29,,1.5,,,,,,,,
16068715,496,,,Hourly,22,,4,,,,,,,,
16068715,507,,,Hourly,19.29,,32.25,,,,,,,,
16068715,516,,,Hourly,17,,8,,,,,,,,
16068715,516,,,Hourly,19.28,,32,,,,,,,,
16068715,516,,,Hourly,19.29,,40,,,,,,,,
16068715,516,,,Overtime,19.29,,16,,,,,,,,
16068715,522,,,Hourly,17,,15.25,,,,,,,,
16068715,522,,,Hourly,18,,17,,,,,,,,
16068715,522,,,Hourly,19.28,,12.5,,,,,,,,
16068715,522,,,Hourly,19.29,,6.5,,,,,,,,
16068715,526,,,Hourly,22,,2,,,,,,,,
16068715,561,,,Hourly,17,,28,,,,,,,,
16068715,571,,,Hourly,17,,5,,,,,,,,
16068715,571,,,Hourly,22,,9,,,,,,,,
16068715,576,,,Hourly,19.29,,17,,,,,,,,
16068715,589,,,Hourly,19.28,,20.07,,,,,,,,
16068715,643,,,Hourly,17,,9.75,,,,,,,,
16068715,647,,,Hourly,17,,72.75,,,,,,,,
16068715,653,,,Hourly,17,,14.9,,,,,,,,
16068715,657,,,Hourly,18.5,,28,,,,,,,,
16068715,657,,,Hourly,22,,14,,,,,,,,
16068715,663,,,Overtime,21,,42,,,,,,,,
16068715,663,,,Overtime,22,,4,,,,,,,,
16068715,663,,,Hourly,21,,80,,,,,,,,
16068715,663,,,Overtime,21,,7,,,,,,,,
16068715,663,,,Overtime,22,,6,,,,,,,,
16068715,663,,,MILEAGE REIMB,0.73,,,3,,,,,,,
16068715,666,,,Hourly,17,,46,,,,,,,,
16068715,673,,,Hourly,19.29,,51,,,,,,,,
16068715,681,,,Hourly,25.5,,56.5,,,,,,,,
16068715,687,,,Hourly,22,,7.5,,,,,,,,
16068715,687,,,Hourly,25,,8.5,,,,,,,,
16068715,689,,,Hourly,22,,58.5,,,,,,,,
16068715,701,,,Hourly,22,,7.75,,,,,,,,
16068715,705,,,Hourly,17,,48.08,,,,,,,,
16068715,706,,,Hourly,19.29,,22.5,,,,,,,,
16068715,710,,,Hourly,22,,8,,,,,,,,
16068715,710,,,Hourly,22.5,,40,,,,,,,,
16068715,716,,,Hourly,17,,67,,,,,,,,
